MOF	LCD	PLD	Vol_SA	Grav_SA	Void_fraction	0.0	0.1	0.2	0.30000000000000004	0.4	0.5	0.6000000000000001	0.7000000000000001	0.8	0.9
ABAVIJ_clean	4.45543	2.4972	0.0	0.0	0.0	0.0042735042735042	0.0017094017094017	0.0085470085470085	0.0034188034188034	0.0025641025641025	0.0017094017094017	0.0051282051282051	0.0025641025641025	0.0008547008547008	0.9692307692307692
ABAYIO_clean	11.39486	4.3226	1523.35	1605.0	0.21342	0.0	0.0072826581702321	0.0409649522075557	0.1233500227583068	0.0327719617660446	0.0127446517979062	0.0236686390532544	0.0218479745106964	0.0163859808830223	0.7209831588529816
ABAYOU_clean	11.27344	4.5108	1569.85	1603.09	0.21518	0.0	0.0072826581702321	0.057350933090578	0.1124260355029586	0.0236686390532544	0.0291306326809285	0.0	0.0436959490213928	0.0	0.7264451524806556
ABEFUL_clean	4.93969	3.32948	577.875	372.564	0.02504	0.0039506172839506	0.0079012345679012	0.0079012345679012	0.0	0.0079012345679012	0.0009876543209876	0.0	0.0039506172839506	0.0	0.9674074074074076
ABESUX_clean	5.87931	4.42585	1957.59	523.014	0.12586	0.0	0.0	0.1021696252465483	0.0449704142011834	0.0248520710059171	0.0177514792899408	0.0114398422090729	0.008284023668639	0.0074950690335305	0.7830374753451678
ABETAE_clean	5.88295	4.42122	1985.55	536.74	0.12862	0.0	0.0	0.1049309664694279	0.0465483234714004	0.0260355029585798	0.016568047337278	0.0094674556213017	0.0090729783037475	0.006706114398422	0.7806706114398423
ABETIN_clean	9.47418	7.83744	2340.83	3919.47	0.36562	0.0	0.0	0.0653079114617576	0.2581634889327197	0.0201621740083278	0.0127109357878588	0.0109577032653955	0.0087661626123164	0.0074512382204689	0.616480385711155
ABEXEM_clean	4.82084	4.14331	1173.54	666.474	0.05954	0.0	0.0023923444976076	0.0362838915470494	0.018341307814992	0.0087719298245614	0.0103668261562998	0.0059808612440191	0.0051834130781499	0.003987240829346	0.9086921850079746
ABEXEN_clean	18.8079	13.71867	1673.93	2482.2	0.4351	0.0	0.0013714285714285	0.0445714285714285	0.1885714285714286	0.1936	0.0185142857142857	0.0123428571428571	0.0089142857142857	0.0041142857142857	0.5280000000000001
ABEXIQ_clean	4.80529	4.06893	1174.62	657.091	0.05798	0.0	0.001993620414673	0.0330940988835725	0.018341307814992	0.0103668261562998	0.0079744816586921	0.0071770334928229	0.0059808612440191	0.0051834130781499	0.9098883572567784
ABEXOW_clean	4.7727	4.04921	1128.78	622.798	0.05398	0.0	0.0031897926634768	0.0318979266347687	0.018341307814992	0.0079744816586921	0.0099681020733652	0.0055821371610845	0.0071770334928229	0.0031897926634768	0.9126794258373208
ABEXUC_clean	4.74458	4.0168	1093.72	591.8	0.05694	0.0	0.0043062200956937	0.0311004784688995	0.0157894736842105	0.0110047846889952	0.0052631578947368	0.0086124401913875	0.0076555023923444	0.0043062200956937	0.9119617224880384
ABEYAJ_clean	4.73097	3.9715	1094.2	573.958	0.05082	0.0	0.0062200956937799	0.0258373205741626	0.0172248803827751	0.0129186602870813	0.0071770334928229	0.0019138755980861	0.0052631578947368	0.0043062200956937	0.9191387559808616
ABEYEN_clean	4.70447	3.94356	1074.2	556.785	0.04922	0.0	0.0071770334928229	0.023444976076555	0.0148325358851674	0.0153110047846889	0.0071770334928229	0.0038277511961722	0.0023923444976076	0.0033492822966507	0.922488038277512
ABEYIR_clean	4.69665	3.92184	1103.01	560.013	0.04996	0.0	0.0076555023923444	0.0224880382775119	0.0157894736842105	0.0124401913875598	0.0076555023923444	0.0052631578947368	0.0004784688995215	0.008133971291866	0.9200956937799044
ABIXOZ_clean	6.22728	4.0515	2061.2	1074.94	0.13976	0.0	0.0	0.0148148148148148	0.1365740740740741	0.0287037037037037	0.0203703703703703	0.0148148148148148	0.012037037037037	0.0064814814814814	0.7662037037037039
ABIYIV_clean	4.33176	3.82431	661.515	491.247	0.0313	0.0	0.0093415356573251	0.0068352699931647	0.0068352699931647	0.0036454773296878	0.0054682159945317	0.0031897926634768	0.0022784233310549	0.0031897926634768	0.9592162223741172
ABULOB_clean	4.86958	4.16445	1387.31	1051.62	0.0753	0.0	0.0339743589743589	0.0102564102564102	0.0166666666666666	0.0115384615384615	0.0102564102564102	0.0115384615384615	0.0102564102564102	0.0076923076923076	0.8878205128205131
ABUWOJ_clean	5.07969	4.03039	1964.91	1696.34	0.10102	0.0	0.0121381886087768	0.0532212885154061	0.0252100840336134	0.0158730158730158	0.011204481792717	0.0140056022408963	0.007469654528478	0.0084033613445378	0.8524743230625585
ac403674p_si_001_clean	8.50423	8.27985	1283.56	1145.3	0.1804	0.0	0.0	0.0558730158730158	0.0984126984126984	0.0126984126984127	0.0101587301587301	0.0076190476190476	0.0038095238095238	0.0031746031746031	0.8082539682539684
ACAJIY_clean	4.94767	3.4178	1069.97	978.117	0.04584	0.0003460207612456	0.0112456747404844	0.0134948096885813	0.0083044982698961	0.0062283737024221	0.0025951557093425	0.0024221453287197	0.0067474048442906	0.0057093425605536	0.942906574394464
ACAJIZ_clean	6.18649	5.74044	1046.35	803.968	0.09672	0.0	0.01	0.0584615384615384	0.0046153846153846	0.0123076923076923	0.0061538461538461	0.0069230769230769	0.003076923076923	0.003076923076923	0.8953846153846156
ACAJOF_clean	6.86398	6.10482	1226.88	1006.7	0.12038	0.0	0.0054945054945054	0.0769230769230769	0.0178571428571428	0.0137362637362637	0.0123626373626373	0.0027472527472527	0.0027472527472527	0.0041208791208791	0.8640109890109893
ACAKUM_clean	4.47083	3.0099	0.0	0.0	0.03376	0.0	0.0095238095238095	0.0138095238095238	0.0142857142857142	0.0038095238095238	0.0076190476190476	0.0061904761904761	0.0038095238095238	0.0104761904761904	0.9304761904761908
ACALIB_clean	3.96462	2.41854	0.0	0.0	0.0	0.0	0.0	0.0116161616161616	0.004040404040404	0.004040404040404	0.004040404040404	0.005050505050505	0.003030303030303	0.003030303030303	0.9651515151515154
ACIBIY_clean	5.10081	3.73403	1077.17	620.791	0.05968	0.0	0.0091710758377425	0.0261022927689594	0.0112874779541446	0.0077601410934744	0.0081128747795414	0.0031746031746031	0.0056437389770723	0.0038800705467372	0.9248677248677252
ACIBOE_clean	8.25776	7.03071	2164.14	1965.72	0.21208	0.0	0.0	0.1025849786281294	0.08569102381437	0.0219824954203134	0.0162833299409729	0.011398330958681	0.0081416649704864	0.0097699979645837	0.7441481783024629
ACODON_clean	7.1439	4.65537	1896.77	1650.46	0.17844	0.0	0.0083850931677018	0.1083850931677018	0.0375776397515528	0.0149068322981366	0.0111801242236024	0.0130434782608695	0.0068322981366459	0.0080745341614906	0.7916149068322984
ACOGAB_clean	5.20085	3.89327	1634.91	1416.03	0.08942	0.0	0.0326797385620915	0.0236928104575163	0.0179738562091503	0.0106209150326797	0.011437908496732	0.0081699346405228	0.0065359477124183	0.0065359477124183	0.8823529411764707
ACOGEF_clean	5.20115	3.94888	1608.68	1277.22	0.08892	0.0	0.0302287581699346	0.0253267973856209	0.0212418300653594	0.0098039215686274	0.011437908496732	0.0081699346405228	0.005718954248366	0.0073529411764705	0.8807189542483661
ACOLEL_clean	4.00255	2.78217	0.0	0.0	0.0	0.0003095975232198	0.0	0.0006191950464396	0.0006191950464396	0.0003095975232198	0.0007739938080495	0.0004643962848297	0.0003095975232198	0.0003095975232198	0.9962848297213626
ACOLIP_clean	4.91034	3.57647	1386.03	1320.67	0.06162	0.0	0.0165289256198347	0.0224321133412042	0.0188902007083825	0.0059031877213695	0.0082644628099173	0.0094451003541912	0.0047225501770956	0.0011806375442739	0.912632821723731
ACOLOV_clean	8.42183	5.53552	2332.85	2701.91	0.26062	0.0	0.0002104377104377	0.1027988215488215	0.1253156565656565	0.0233585858585858	0.0174663299663299	0.011574074074074	0.0111531986531986	0.0086279461279461	0.6994949494949496
acs.cgd.5b01686_WAHFUJ1434675_clean	5.00451	3.93435	1262.91	983.089	0.06264	0.0	0.008	0.0329999999999999	0.014	0.013	0.0019999999999999	0.007	0.007	0.006	0.91
acs.cgd.6b00463_OLOMUZ1451936_clean	10.32513	7.87202	2024.88	1881.67	0.30608	0.0	0.0	0.0154195011337868	0.2383673469387755	0.0528798185941043	0.01578231292517	0.011912320483749	0.0127588813303099	0.0076190476190476	0.6452607709750569
acs.chemmater.6b02817_cm6b02817_si_004_clean	10.39878	5.64581	1548.1	1724.55	0.27438	0.0	0.0004319187992657	0.1151063600043191	0.1346506856710939	0.0220278587625526	0.0077745383867832	0.0155490767735665	0.0133894827772378	0.0090702947845805	0.6819997840406005
acs.chemrev.6b00346_cr6b00346_si_001_clean	9.19439	3.959	2433.24	2684.56	0.24848	0.0	0.0	0.0823045267489711	0.1539780521262003	0.0308641975308642	0.0082304526748971	0.0246913580246913	0.0061728395061728	0.0082304526748971	0.685528120713306
acscombsci.5b00188_24205_clean	5.32506	4.91361	1831.53	1450.83	0.139	0.0	0.0607142857142857	0.0374999999999999	0.0357142857142857	0.0214285714285714	0.0124999999999999	0.0107142857142857	0.0125	0.0017857142857142	0.8071428571428573
acscombsci.5b00188_3001288_clean	29.41365	23.60037	872.977	5591.57	0.83378	0.0	0.0	0.0004452235857194	0.0682305145115062	0.7552939866989455	0.0095166541447533	0.0050087653393438	0.004841806494699	0.003227870996466	0.1534351782285667
acscombsci.5b00188_5020072_clean	14.46967	11.94118	1947.51	4533.37	0.56232	0.0	0.0	0.0057710064635272	0.252539242843952	0.285780240073869	0.0186980609418282	0.0161588180978762	0.0080794090489381	0.0060018467220683	0.406971375807941
acscombsci.5b00188_5024922_clean	20.5205	15.85622	1439.82	4880.71	0.70424	0.0	0.0	0.0014172335600907	0.177437641723356	0.5080782312925172	0.0113378684807256	0.0075113378684807	0.0068027210884353	0.0052437641723356	0.282171201814059
acscombsci.5b00188_5036495_clean	10.8747	9.02495	2278.75	6734.47	0.58028	0.0	0.0	0.000297619047619	0.2791666666666667	0.2738095238095238	0.031845238095238	0.01875	0.0053571428571428	0.0050595238095238	0.3857142857142858
acscombsci.5b00188_5040209_clean	7.3732	5.53143	1972.95	1885.61	0.19522	0.0	0.0095238095238095	0.0857142857142856	0.1007936507936508	0.0142857142857142	0.0071428571428571	0.0087301587301587	0.0039682539682539	0.0087301587301587	0.7611111111111113
acscombsci.5b00188_8372_clean	5.7583	4.46842	3346.28	3489.87	0.2295	0.0	0.0	0.0394736842105263	0.140625	0.0444078947368421	0.0452302631578947	0.0304276315789473	0.0148026315789473	0.0041118421052631	0.6809210526315791
acs.inorgchem.5b02108_ic5b02108_si_002_clean	7.194	7.0599	1683.23	1390.72	0.19516	0.0	0.0202020202020202	0.1414141414141413	0.0274747474747474	0.0096969696969697	0.0096969696969696	0.008080808080808	0.0064646464646464	0.0096969696969697	0.7672727272727274
acs.inorgchem.5b02973_ic5b02973_si_002_clean	11.38761	10.4443	1110.87	1080.77	0.20316	0.0006478781988986	0.0012957563977972	0.0330417881438289	0.1360544217687075	0.0391966310333657	0.0038872691933916	0.0077745383867832	0.0077745383867832	0.0077745383867832	0.7625526401036606
