MOF	LCD	PLD	Vol_SA	Grav_SA	Void_fraction
ABAVIJ_clean	4.45543	2.4972	0.0	0.0	0.0
ABAYIO_clean	11.39486	4.3226	1523.35	1605.0	0.21342
ABAYOU_clean	11.27344	4.5108	1569.85	1603.09	0.21518
ABEFUL_clean	4.93969	3.32948	577.875	372.564	0.02504
ABESUX_clean	5.87931	4.42585	1957.59	523.014	0.12586
ABETAE_clean	5.88295	4.42122	1985.55	536.74	0.12862
ABETIN_clean	9.47418	7.83744	2340.83	3919.47	0.36562
ABEXEM_clean	4.82084	4.14331	1173.54	666.474	0.05954
ABEXEN_clean	18.8079	13.71867	1673.93	2482.2	0.4351
ABEXIQ_clean	4.80529	4.06893	1174.62	657.091	0.05798
ABEXOW_clean	4.7727	4.04921	1128.78	622.798	0.05398
ABEXUC_clean	4.74458	4.0168	1093.72	591.8	0.05694
ABEYAJ_clean	4.73097	3.9715	1094.2	573.958	0.05082
ABEYEN_clean	4.70447	3.94356	1074.2	556.785	0.04922
ABEYIR_clean	4.69665	3.92184	1103.01	560.013	0.04996
ABIXOZ_clean	6.22728	4.0515	2061.2	1074.94	0.13976
ABIYIV_clean	4.33176	3.82431	661.515	491.247	0.0313
ABULOB_clean	4.86958	4.16445	1387.31	1051.62	0.0753
ABUWOJ_clean	5.07969	4.03039	1964.91	1696.34	0.10102
ac403674p_si_001_clean	8.50423	8.27985	1283.56	1145.3	0.1804
ACAJIY_clean	4.94767	3.4178	1069.97	978.117	0.04584
ACAJIZ_clean	6.18649	5.74044	1046.35	803.968	0.09672
ACAJOF_clean	6.86398	6.10482	1226.88	1006.7	0.12038
ACAKUM_clean	4.47083	3.0099	0.0	0.0	0.03376
ACALIB_clean	3.96462	2.41854	0.0	0.0	0.0
ACIBIY_clean	5.10081	3.73403	1077.17	620.791	0.05968
ACIBOE_clean	8.25776	7.03071	2164.14	1965.72	0.21208
ACODON_clean	7.1439	4.65537	1896.77	1650.46	0.17844
ACOGAB_clean	5.20085	3.89327	1634.91	1416.03	0.08942
ACOGEF_clean	5.20115	3.94888	1608.68	1277.22	0.08892
ACOLEL_clean	4.00255	2.78217	0.0	0.0	0.0
ACOLIP_clean	4.91034	3.57647	1386.03	1320.67	0.06162
ACOLOV_clean	8.42183	5.53552	2332.85	2701.91	0.26062
acs.cgd.5b01686_WAHFUJ1434675_clean	5.00451	3.93435	1262.91	983.089	0.06264
acs.cgd.6b00463_OLOMUZ1451936_clean	10.32513	7.87202	2024.88	1881.67	0.30608
acs.chemmater.6b02817_cm6b02817_si_004_clean	10.39878	5.64581	1548.1	1724.55	0.27438
acs.chemrev.6b00346_cr6b00346_si_001_clean	9.19439	3.959	2433.24	2684.56	0.24848
acscombsci.5b00188_24205_clean	5.32506	4.91361	1831.53	1450.83	0.139
acscombsci.5b00188_3001288_clean	29.41365	23.60037	872.977	5591.57	0.83378
acscombsci.5b00188_5020072_clean	14.46967	11.94118	1947.51	4533.37	0.56232
acscombsci.5b00188_5024922_clean	20.5205	15.85622	1439.82	4880.71	0.70424
acscombsci.5b00188_5036495_clean	10.8747	9.02495	2278.75	6734.47	0.58028
acscombsci.5b00188_5040209_clean	7.3732	5.53143	1972.95	1885.61	0.19522
acscombsci.5b00188_8372_clean	5.7583	4.46842	3346.28	3489.87	0.2295
