MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction	0.0	0.1	0.2	0.30000000000000004	0.4	0.5	0.6000000000000001	0.7000000000000001	0.8	0.9
abf+N271+N298+N450+E22+E163+E220	30.31116	19.61686	977.687	6538.62	0.81724	0.0	0.0	0.00103700016592	0.1035755765720922	0.6985924451081247	0.0092915214866434	0.0061252143133676	0.0050329074719318	0.0033737072064598	0.1729716276754604
abf+N271+N499+N188+E61+E122+E0	25.40268	21.60039	1045.84	5095.32	0.77942	0.0	0.0	0.0045522519352568	0.1164232934553131	0.6524014778325125	0.0096323011963405	0.0056738212526389	0.0050360661505981	0.0036286066150598	0.2026521815622801
abf+N32+N60+N52+E192+E125+E48	24.7485	18.75889	1122.64	4783.47	0.7647	0.0	3.720238095238095e-05	0.0034970238095238	0.1136160714285714	0.631733630952381	0.0109002976190476	0.0070126488095238	0.0049479166666666	0.0043712797619047	0.2238839285714286
abr+N161+N256+N237+E206+E141+E203	28.89184	23.42728	1025.77	5295.8	0.7926	0.0	0.0	0.0009207320528075	0.116224715281319	0.6643719190889004	0.009320641396113	0.0065867754546999	0.0047878066745991	0.0041645419003909	0.19362286815117
abr+N238+N218+N697+E19+E66+E131	20.28418	13.9415	1559.64	4456.56	0.6639	0.0	0.0	0.0041666666666666	0.1962606837606838	0.4531339031339033	0.0147792022792022	0.0093304843304843	0.0072649572649572	0.0056267806267806	0.309437321937322
abr+N238+N404+N616+E132+E221+E16	30.43482	25.09455	1257.51	4518.34	0.71498	0.0	6.299133239266277e-05	0.0077983269502116	0.1521240677282806	0.5403018544648257	0.0104943559766176	0.0074077806893771	0.0057196129812537	0.0043841967345293	0.2717068131425116
abr+N367+N371+N305+E199+E139+E42	14.53054	10.18433	2049.08	4104.62	0.5133	0.0	0.0	0.0084670231729055	0.2597147950089127	0.2223707664884136	0.0179144385026737	0.0121657754010695	0.0087344028520499	0.0073975044563279	0.4632352941176472
abr+N434+N158+N305+E68+E190+E127	29.66154	22.12737	1129.49	6006.5	0.77932	0.0	0.0	0.0022905863264721	0.129290872649763	0.6329229366165072	0.0104242886987136	0.0068187361477852	0.0050053553059947	0.0037328073468435	0.2095144169079206
abr+N461+N32+N649+E225+E69+E132	13.94657	8.92166	1997.22	3008.52	0.40982	0.0	0.0	0.0182757885763	0.2238384484228474	0.1630434782608696	0.0166240409207161	0.0123081841432225	0.0099104859335038	0.0065537084398977	0.5494458653026429
abr+N492+N188+N282+E39+E192+E70	22.26918	13.6241	1519.55	6279.27	0.68624	0.0	0.0	0.0022894795622068	0.184386866205048	0.4823170277715733	0.0136624227533318	0.0094371230734867	0.0063472563472563	0.0056027101481646	0.2959571141389324
abr+N514+N115+N164+E190+E183+E107	21.71967	14.79515	1489.31	4591.55	0.6759	0.0	0.0	0.0065386002886002	0.1821789321789322	0.4769570707070708	0.0140467171717171	0.008342352092352	0.0069669913419913	0.0046446608946608	0.3003246753246754
abr+N52+N99+N256+E205+E138+E69	20.37184	14.22986	1585.62	4850.68	0.64256	0.0	8.379420144126027e-05	0.0086308027484498	0.1919306184012066	0.4300318417965478	0.0137422490363666	0.0093221049103402	0.0069130216189039	0.0053418803418803	0.3340036869448635
abr+N600+N267+N514+E131+E205+E92	16.22923	10.51333	1851.18	4841.67	0.52898	0.0	3.613369467028004e-05	0.0153206865401987	0.2293405600722674	0.2656187895212286	0.0155374887082204	0.0103703703703703	0.0080216802168021	0.0056729900632339	0.4500813008130082
abr+N708+N184+N164+E165+E27+E225	18.71661	13.15563	1599.48	4077.01	0.62842	0.0	0.0	0.0080803587975833	0.2140183105378257	0.3923792579413619	0.0136031728381333	0.0096371251714296	0.0066718558879128	0.0051892212461544	0.350420697579599
abr+N708+N461+N190+E65+E142+E114	24.24904	17.26883	1296.83	6545.98	0.7415	0.0	0.0	0.0017517978978425	0.1526830167803799	0.5728563525723771	0.0115065461921445	0.0075235109717868	0.0060298727641526	0.0044255946892863	0.2432233081320303
acs-a+N156+E221	43.56297	40.17358	773.421	5257.35	0.83122	0.0	0.0	0.0021176470588235	0.0841917211328976	0.7375511982570808	0.0069019607843137	0.0045228758169934	0.003355119825708	0.0029193899782135	0.1584400871459695
acs-a+N219+E84	42.84673	39.91153	912.58	5567.1	0.79632	0.0	2.9394473838918284e-05	0.0032137958063883	0.1118557711150304	0.6712032137958065	0.0079952968841857	0.0057221242406427	0.0043307858122672	0.0032431902802273	0.1924064275916128
acs-a+N238+E136	42.60793	39.61027	737.867	5944.12	0.85174	0.0	0.0	0.000743057403957	0.0884903735249756	0.7564435276372994	0.007330760358442	0.0047356046490994	0.0035600212935853	0.0028169638896282	0.135879691243013
acs-a+N256+E185	22.27104	21.13529	1283.57	2116.97	0.65952	0.0	0.0004002241255102	0.0066437204834707	0.1299127511406387	0.5151151311401052	0.0136076202673497	0.0080845273353077	0.0068038101336748	0.0054430481069398	0.3139891672670029
acs-a+N267+E120	34.52658	30.70638	875.789	5625.04	0.81364	0.0	0.0	0.0022963155163466	0.1006616502335236	0.701336274001038	0.0073819408406849	0.0053710430721328	0.0036844836533471	0.0033212247016087	0.1759470679813181
acs-a+N2+E222	47.1012	40.38531	529.849	7311.56	0.90154	0.0	0.0	0.0001648059542796	0.064093567251462	0.8284635832004253	0.0049494949494949	0.0033173843700159	0.0024667729930887	0.0018766613503455	0.0946677299308878
acs-a+N305+E41	54.58481	51.9078	541.968	5647.64	0.90476	0.0	0.0	0.0	0.0489057361779333	0.8523756297484247	0.0052485785099868	0.0044062140577667	0.0029725745573536	0.0024460967747161	0.0836451701738186
acs-a+N307+E6	44.53407	39.34322	572.922	8213.84	0.90376	0.0	0.0	0.0	0.0545954230748903	0.8416121165447313	0.006191155707566	0.0038279462728487	0.0028615219672774	0.0020763022190008	0.0888355342136855
acs-a+N346+E61	48.61281	44.13052	827.45	5357.62	0.8417	0.0	0.0	0.0004484896451655	0.0973222530009233	0.7357252781075497	0.0076682935408697	0.0052939365958756	0.0033680692960471	0.0032273666622697	0.1469463131512993
acs-a+N398+E4	47.24462	43.84382	695.722	6479.22	0.87428	0.0	0.0	0.0004068658614113	0.0736257681712227	0.7934647171010809	0.0066115702479338	0.0048145793600339	0.003399025217207	0.0026107226107226	0.1150667514303878
acs-a+N492+E108	22.89032	18.71975	1577.97	3767.61	0.53296	0.0	0.0	0.018775077598607	0.1625028389734272	0.3430615489439019	0.0129835718071012	0.0095389507154213	0.0074191838897721	0.0057157998334468	0.4400030282383224
acs-a+N492+E221	38.67962	36.15123	1006.38	6381.41	0.77896	0.0	2.351170883099784e-05	0.0038794319571146	0.1185342800714756	0.6451848020314117	0.0091460547352581	0.0058191479356719	0.004384933696981	0.0036678265776356	0.2093600112856202
