MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction
abf+N271+N298+N450+E22+E163+E220	30.31116	19.61686	977.687	6538.62	0.81724
abf+N271+N499+N188+E61+E122+E0	25.40268	21.60039	1045.84	5095.32	0.77942
abf+N32+N60+N52+E192+E125+E48	24.7485	18.75889	1122.64	4783.47	0.7647
abr+N161+N256+N237+E206+E141+E203	28.89184	23.42728	1025.77	5295.8	0.7926
abr+N238+N218+N697+E19+E66+E131	20.28418	13.9415	1559.64	4456.56	0.6639
abr+N238+N404+N616+E132+E221+E16	30.43482	25.09455	1257.51	4518.34	0.71498
abr+N367+N371+N305+E199+E139+E42	14.53054	10.18433	2049.08	4104.62	0.5133
abr+N434+N158+N305+E68+E190+E127	29.66154	22.12737	1129.49	6006.5	0.77932
abr+N461+N32+N649+E225+E69+E132	13.94657	8.92166	1997.22	3008.52	0.40982
abr+N492+N188+N282+E39+E192+E70	22.26918	13.6241	1519.55	6279.27	0.68624
abr+N514+N115+N164+E190+E183+E107	21.71967	14.79515	1489.31	4591.55	0.6759
abr+N52+N99+N256+E205+E138+E69	20.37184	14.22986	1585.62	4850.68	0.64256
abr+N600+N267+N514+E131+E205+E92	16.22923	10.51333	1851.18	4841.67	0.52898
abr+N708+N184+N164+E165+E27+E225	18.71661	13.15563	1599.48	4077.01	0.62842
abr+N708+N461+N190+E65+E142+E114	24.24904	17.26883	1296.83	6545.98	0.7415
acs-a+N156+E221	43.56297	40.17358	773.421	5257.35	0.83122
acs-a+N219+E84	42.84673	39.91153	912.58	5567.1	0.79632
acs-a+N238+E136	42.60793	39.61027	737.867	5944.12	0.85174
acs-a+N256+E185	22.27104	21.13529	1283.57	2116.97	0.65952
acs-a+N267+E120	34.52658	30.70638	875.789	5625.04	0.81364
acs-a+N2+E222	47.1012	40.38531	529.849	7311.56	0.90154
acs-a+N305+E41	54.58481	51.9078	541.968	5647.64	0.90476
acs-a+N307+E6	44.53407	39.34322	572.922	8213.84	0.90376
acs-a+N346+E61	48.61281	44.13052	827.45	5357.62	0.8417
acs-a+N398+E4	47.24462	43.84382	695.722	6479.22	0.87428
acs-a+N492+E108	22.89032	18.71975	1577.97	3767.61	0.53296
acs-a+N492+E221	38.67962	36.15123	1006.38	6381.41	0.77896
acs-a+N50+E71	43.91365	40.05328	727.371	7049.63	0.85008
acs-a+N520+E92	29.29293	27.65951	1416.4	3794.17	0.65984
acs-a+N562+E127	36.88562	33.0957	845.008	3834.53	0.81732
acs-a+N708+E216	27.88158	24.50376	1170.78	6237.68	0.75902
acs-a+N93+E173	35.79762	32.4883	908.599	6357.26	0.8069
acs-f+N117+E158	10.90877	5.94233	2762.58	3959.25	0.35424
acs-f+N117+E195	13.15991	7.60285	2544.42	5348.68	0.48066
acs-f+N246+E57	11.63106	7.57259	2702.36	4422.82	0.4653
acs-f+N315+E112	33.39523	26.4993	743.976	6910.81	0.86728
acs-f+N411+E217	12.86263	8.27039	2448.27	6085.55	0.47494
acs-f+N519+E112	21.11794	13.02726	1351.24	7631.82	0.7544
acs-f+N606+E88	15.96927	10.97072	1829.35	6083.74	0.60566
acs-f+N641+E209	27.8753	20.69157	904.481	7447.49	0.83896
acs-f+N96+E208	25.75104	16.16082	1117.23	6163.19	0.79068
acs-g+N485+E216	17.76243	14.21331	1478.77	5317.84	0.69158
acs-g+N611+E16	28.4672	24.38992	859.616	6416.73	0.83448
acs-h+N172+E149	20.63368	15.89547	1488.68	3079.87	0.60568
acs-h+N172+E153	17.65403	12.13747	1424.48	2858.65	0.56076
acs-h+N206+E66	16.04791	14.71814	1887.49	2173.87	0.4429
acs-h+N254+E47	24.68665	23.22017	1503.33	4223.95	0.65464
acs-h+N272+E154	27.62866	23.92381	1621.3	4713.95	0.63896
acs-h+N300+E121	32.11272	28.3945	1050.36	5562.52	0.78534
acs-h+N332+E84	35.85555	32.61443	1016.56	4013.92	0.75208
acs-h+N383+E195	17.54769	15.13998	1978.5	3914.56	0.4939
acs-h+N482+E160	14.43725	11.71527	1513.83	1888.95	0.39796
acs-h+N482+E233	15.82394	11.08724	1655.3	2074.27	0.40134
acs-h+N482+E82	21.41655	17.03451	1600.64	3687.44	0.62358
acs-h+N572+E85	18.47893	14.78042	1453.28	2807.83	0.54858
acs-h+N651+E50	16.98593	15.27777	1670.95	2127.36	0.42848
acs-i+N206+E121	42.74663	37.58575	877.764	5823.54	0.83274
acs-i+N206+E147	25.30347	22.67619	1549.46	4155.23	0.64826
acs-i+N206+E54	32.95435	28.90905	1421.77	4488.45	0.728
acs-i+N242+E111	22.02383	20.56349	1498.34	5151.13	0.68038
acs-i+N254+E14	13.2421	5.82856	2234.8	2548.36	0.32268
acs-i+N254+E96	13.44638	7.99554	2410.88	4220.63	0.45412
acs-i+N300+E172	23.24716	19.64732	1831.79	3750.27	0.60554
acs-i+N300+E59	33.43633	17.3197	1149.86	6332.26	0.78292
acs-i+N364+E224	31.01335	27.33491	902.202	5437.53	0.80032
acs-i+N364+E56	34.55514	32.06236	805.129	4911.19	0.84308
acs-i+N364+E63	18.87981	16.86241	1346.88	4248.77	0.68132
acs-i+N383+E0	9.20427	7.55066	1511.49	1093.51	0.173
acs-i+N482+E187	24.92417	19.37298	1356.94	4880.28	0.6941
acs-i+N482+E203	26.02112	23.99742	1409.66	5648.61	0.697
acs-i+N651+E126	39.65681	37.44984	1251.14	5472.32	0.74086
acs-i+N671+E210	27.3199	25.10445	1539.63	4346.92	0.69702
