MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction
mof_10000	18.8338	9.68806	1781.03	5126.34	0.59342
mof_10001	21.28273	10.01923	1661.45	5048.24	0.628
mof_10002	24.47284	11.01164	1508.51	4706.99	0.63176
mof_10003	20.19751	10.05221	1722.37	4928.37	0.5798
mof_10004	20.9815	10.67391	1664.37	4709.47	0.59458
mof_10005	15.33775	6.72388	1969.0	4023.22	0.46196
mof_10006	26.62951	13.19597	1398.3	5818.13	0.69136
mof_10007	25.31701	12.70729	1384.94	5491.95	0.6869
mof_10008	27.59502	14.15471	1286.25	6112.16	0.72534
mof_10009	26.97655	14.33228	1261.43	5681.33	0.73922
mof_1000	17.35696	15.92848	1751.72	2468.4	0.4269
mof_10010	28.05374	14.99868	1193.35	6899.51	0.75856
mof_10011	28.66766	15.13108	1175.5	7006.8	0.76324
mof_10012	31.03746	16.07986	1069.7	7420.86	0.79646
mof_10013	33.05127	17.363	1025.65	6496.08	0.78954
mof_10014	33.0538	17.83583	1011.16	6099.67	0.79638
mof_10015	35.1839	18.40856	946.919	7200.56	0.81474
mof_10016	21.12997	10.28894	1651.01	5717.58	0.65184
mof_10017	35.11725	18.3835	965.54	7409.28	0.81522
mof_10018	36.09623	19.9687	865.15	6466.94	0.82582
mof_10019	37.3797	19.96122	897.767	6484.22	0.81806
mof_1001	25.93623	24.00552	1708.56	4180.66	0.55502
mof_10020	38.73646	20.90673	839.333	6679.77	0.8305
mof_10021	38.89606	20.83251	821.662	7032.42	0.83716
mof_10022	39.72211	21.23729	803.746	6815.62	0.84092
mof_10023	38.70701	21.60389	786.625	6254.66	0.84844
mof_10024	38.90316	21.22546	774.038	8194.43	0.8601
mof_10025	38.66663	20.34046	831.084	6772.35	0.83302
mof_10026	41.55901	21.65872	767.893	7711.94	0.85422
mof_10027	21.70158	11.16154	1602.39	5937.54	0.65342
mof_10028	41.53289	21.91629	746.86	7185.12	0.8592
mof_10029	36.8577	19.36914	911.375	7252.4	0.82128
mof_1002	28.31586	26.0133	1591.67	3989.39	0.57532
mof_10030	41.66232	21.86903	800.265	7987.77	0.8549
mof_10031	42.82574	21.7647	795.364	7891.14	0.85104
mof_10032	42.72732	22.55153	732.854	8267.47	0.86724
mof_10033	43.23317	23.27578	697.008	7599.85	0.874
mof_10034	44.49812	23.78164	692.037	6802.56	0.86252
mof_10035	43.25252	23.02793	693.106	7815.04	0.8707
mof_10036	42.7286	23.61291	704.471	8034.75	0.86992
mof_10037	44.97626	25.01839	643.106	7541.84	0.87618
mof_10038	23.20719	11.06661	1562.72	6380.7	0.68108
mof_10039	44.93557	25.1314	653.115	7386.7	0.87442
mof_1003	26.55709	24.42608	1687.71	4735.56	0.61166
mof_10040	46.67886	25.81172	628.153	7754.94	0.88192
mof_10041	47.61161	26.12201	599.408	6881.59	0.89022
mof_10042	51.9822	28.58492	550.699	7543.02	0.89578
mof_10043	52.39075	28.71845	538.83	7158.11	0.89804
mof_10044	50.73492	28.74876	528.981	6551.54	0.90148
mof_10045	55.72913	30.48459	484.231	8200.3	0.91108
mof_10046	54.6739	29.71254	505.854	8533.71	0.90948
mof_10047	23.67911	11.80674	1425.78	5760.32	0.6973
mof_10048	21.91276	10.91691	1587.57	5754.06	0.66488
mof_10049	25.24674	12.01177	1415.25	5611.11	0.69988
mof_1004	27.19285	25.16902	1665.24	4407.79	0.63088
mof_10050	26.54712	12.83425	1390.22	5606.55	0.69118
mof_10051	23.61602	12.9764	1491.42	5702.29	0.6687
mof_10052	24.37744	13.45918	1450.53	5446.52	0.67726
mof_10053	19.08642	9.9111	1648.89	4726.73	0.59388
mof_10054	30.71866	16.47219	1163.32	6346.39	0.75512
mof_10055	31.26501	16.91757	1140.34	6088.5	0.75412
mof_10056	32.4985	17.30995	1067.43	6627.77	0.78494
mof_10057	31.98913	17.38922	1034.82	6048.58	0.79094
mof_10058	31.803	17.93761	998.992	7258.12	0.80468
mof_10059	32.21952	18.05953	994.691	7347.52	0.80522
mof_1005	30.8023	29.54314	1515.34	5348.44	0.67684
mof_10060	35.60987	18.57575	883.374	7690.75	0.83526
mof_10061	37.18443	20.29461	884.206	6892.99	0.8261
mof_10062	37.25004	20.59522	870.454	6440.56	0.82792
mof_10063	38.94601	21.41794	806.359	7575.23	0.8464
mof_10064	23.71896	13.74618	1396.71	6061.06	0.71192
mof_10065	40.56698	21.17874	801.979	7634.69	0.84796
mof_10066	41.12504	22.643	753.029	6804.53	0.85352
mof_10067	41.84838	22.98793	763.425	6823.14	0.84956
mof_10068	43.50775	23.92086	724.944	7047.66	0.85818
mof_10069	42.60457	24.27544	703.408	7327.06	0.86258
mof_1006	30.19148	28.74089	1586.09	5372.12	0.66218
mof_10070	42.99072	24.76416	690.015	7136.37	0.86672
mof_10071	39.76201	23.23702	693.162	6502.29	0.86742
mof_10072	41.47279	24.01047	661.065	8360.13	0.88124
mof_10073	42.66331	23.57099	721.429	7104.37	0.86074
mof_10074	47.42479	26.00227	626.427	7979.48	0.88242
mof_10075	25.31664	13.94275	1317.55	6365.42	0.72448
mof_10076	44.59217	25.4346	633.998	7401.97	0.88108
mof_10077	41.90398	22.67114	791.161	7615.02	0.85204
mof_10078	44.75044	24.82904	685.562	8134.24	0.87586
mof_10079	45.77469	24.48082	677.893	8078.32	0.8739
mof_1007	34.83475	31.96688	1315.88	5565.2	0.73496
mof_10080	44.73486	25.10431	634.495	8405.98	0.88614
mof_10081	45.51879	26.52303	603.33	7761.65	0.89176
mof_10082	48.33914	27.54423	601.201	7046.2	0.88282
mof_10083	45.71042	26.88825	608.764	8120.28	0.88764
mof_10084	46.8639	25.41034	604.177	8211.66	0.88972
mof_10085	47.938	27.76754	573.203	7806.3	0.89104
mof_10086	27.38615	13.92404	1255.83	6759.62	0.74952
mof_10087	47.14537	28.22077	580.426	7648.92	0.89076
mof_10088	50.28693	28.73632	551.233	7991.0	0.89818
mof_10089	50.21672	29.19661	513.9	7048.97	0.90552
mof_1008	32.79868	30.12166	1452.87	5272.94	0.6826
mof_10090	54.55395	31.16098	486.753	7758.47	0.91008
mof_10091	53.51091	32.22153	479.984	7379.3	0.91102
mof_10092	54.14143	31.34645	466.312	6749.65	0.91516
mof_10093	57.8327	32.66674	433.781	8444.28	0.92156
mof_10094	57.3857	32.55637	444.033	8626.77	0.92092
mof_10095	26.16909	14.80735	1249.16	6147.95	0.74122
mof_10096	19.8599	12.59005	1592.83	6144.28	0.67068
mof_10097	25.27254	14.47925	1239.13	6002.48	0.74888
mof_10098	30.14762	16.26464	1194.0	6265.89	0.75272
mof_10099	27.8787	15.72599	1257.78	6171.4	0.73222
mof_1009	32.33758	30.64833	1434.26	4977.73	0.69538
mof_100	5.14762	4.14798	898.729	906.381	0.04716
mof_10100	28.33209	16.51603	1212.82	5956.49	0.74402
mof_10101	29.37724	25.47694	968.099	2471.37	0.74636
mof_10102	44.74368	39.03613	624.597	3452.73	0.84964
mof_10103	44.51168	38.64734	618.093	3335.58	0.85032
mof_10104	45.28065	40.59126	608.017	3620.05	0.86266
mof_10105	45.40981	40.08723	615.156	3515.98	0.86616
mof_10106	45.26017	40.97824	618.451	4013.59	0.87128
mof_10107	44.50209	38.80023	639.781	4000.86	0.86472
mof_10108	46.58762	42.21356	580.64	4315.82	0.888
mof_10109	53.69915	47.44195	494.524	3925.5	0.8897
mof_1010	36.10509	33.23307	1338.42	5948.24	0.73392
mof_10110	52.44257	46.45551	515.907	3901.47	0.88938
mof_10111	55.0531	49.44241	500.598	4541.79	0.89998
mof_10112	36.7231	31.48803	836.944	3334.8	0.81716
mof_10113	55.34402	49.52823	471.321	4290.48	0.90202
mof_10114	57.20701	48.52993	474.916	4362.77	0.90178
mof_10115	61.51248	55.17396	405.52	3946.82	0.90624
mof_10116	61.52757	55.46285	410.67	4230.74	0.9094
mof_10117	61.10582	54.4321	418.469	4495.56	0.91154
mof_10118	61.04075	54.89942	417.908	4432.83	0.91276
mof_10119	60.37491	54.49633	415.494	4207.4	0.91536
mof_1011	22.3157	21.62283	1807.19	3699.08	0.54548
mof_10120	58.52747	52.5709	428.435	4848.44	0.91932
mof_10121	62.25427	52.82339	413.994	4159.37	0.90802
mof_10122	60.57129	53.93585	419.772	4813.16	0.91482
mof_10123	37.58325	32.46743	795.767	3360.36	0.8204
mof_10124	61.38548	54.96067	406.043	4633.65	0.9183
mof_10125	61.04937	53.46807	414.078	4432.38	0.90946
mof_10126	63.80553	55.90834	392.543	4736.97	0.92026
mof_10127	63.20243	56.0578	390.151	4680.29	0.91916
mof_10128	63.904	56.80921	371.301	4829.14	0.92562
mof_10129	64.14399	57.27595	372.532	4718.76	0.92734
mof_1012	37.10735	36.19159	1271.9	5828.08	0.74188
mof_10130	69.28411	62.54178	347.092	4467.18	0.9241
mof_10131	64.53531	58.44308	391.635	5124.21	0.926
mof_10132	64.72525	58.49464	368.513	4823.11	0.9262
mof_10133	68.78496	62.40577	352.085	5030.38	0.92982
mof_10134	37.81454	34.22049	801.594	3686.26	0.83354
mof_10135	68.57858	62.05992	354.935	4922.31	0.92862
mof_10136	70.59769	63.78947	341.108	5094.95	0.9315
mof_10137	69.59809	63.36444	334.094	4735.46	0.93558
mof_10138	76.52448	68.54151	299.884	5132.15	0.9392
mof_10139	76.39783	69.17217	297.635	4973.66	0.94
mof_1013	48.9722	47.79348	1007.31	6169.5	0.7986
mof_10140	75.18038	68.44694	299.387	4732.6	0.94152
mof_10141	79.85383	72.63793	273.773	5496.57	0.94698
mof_10142	79.12846	70.62333	279.411	5581.69	0.9469
mof_10143	39.59629	32.48246	736.826	3353.74	0.82962
mof_10144	39.17962	32.22749	754.309	3246.01	0.8209
mof_10145	40.02875	32.83823	739.294	3352.83	0.83046
mof_10146	43.69945	38.20779	644.754	3433.39	0.84774
mof_10147	43.52077	36.61304	660.188	3460.78	0.84292
mof_10148	41.7482	35.39326	686.045	3463.51	0.83994
mof_10149	13.6388	9.49851	1492.45	1036.63	0.35658
mof_1014	36.89661	35.06866	1336.88	5448.59	0.71672
mof_10150	26.06928	21.8627	975.74	2341.82	0.68198
mof_10151	24.90587	21.78686	967.317	2207.01	0.67528
mof_10152	26.77421	23.41481	1009.15	2642.11	0.71012
mof_10153	27.82081	23.4492	1025.36	2569.76	0.724
mof_10154	28.29755	24.27816	1039.38	3141.21	0.73944
mof_10155	29.00667	23.01631	990.266	3113.35	0.74778
mof_10156	28.20681	26.13735	1011.18	3596.71	0.78172
mof_10157	34.2257	29.09476	816.775	3251.06	0.78438
mof_10158	34.35886	29.47073	850.708	3218.89	0.78924
mof_10159	34.98863	31.12485	859.871	4126.02	0.81338
mof_1015	36.48037	33.93045	1293.92	5663.98	0.72878
mof_10160	20.26162	15.07386	1353.38	2035.56	0.59312
mof_10161	38.72113	32.68399	773.306	3723.69	0.8159
mof_10162	38.09725	33.27091	750.364	3794.22	0.82312
mof_10163	41.587	35.63855	660.156	3478.77	0.82914
mof_10164	41.14517	36.1868	693.386	3937.37	0.83416
